IDENT,Inspection,Maintenance,TimeCost
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",7.81458718872738
100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,5.388864728849148
100003,ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",0.29681757233542716
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",0.6564730822073506
100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,3.7637670721950034
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,1.814855634319008
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,8.777004193618602
100008,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,0.32969526168865615
100009,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,0.8709429825923987
100010,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,1.9058942646136712
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK",1.8047720890967967
100012,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,0.3570173301751567
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,3.7314515581430485
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,8.450175075818025
100015,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,8.785537066765322
100016,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,8.176946707524287
100017,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,8.605587724660023
100018,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW ,4.112866374258649
100019,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,0.804159465298323
100020,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,1.724940701907196
100021,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,4.219249171999849
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,5.42607655334179
100023,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,7.788397999409775
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,1.880073786671238
100025,#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",2.9429750257571827
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,9.10951290454139
100027,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,3.6482112780802947
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED",1.387296000560958
100029,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.",8.732295472905472
100030,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",4.320978310279432
100031,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,5.30768140287064
100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,9.962533240464833
100033,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,7.804581987745401
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,9.571058988755938
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,2.6778199391569446
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,0.7530118874114045
100037,L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",8.697939080896758
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.",0.1955831396988006
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",7.5379185859845075
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G",0.31932610392841565
100041,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,9.186563979640354
100042,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,9.256825097362068
100043,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,8.571096645566943
100044,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,8.000717310314098
100045,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,2.0211467506883576
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,4.3508395221420795
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,8.704330789399538
100048,#3 AFT BAFFLE BRACKET LOOSE.,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.,8.37076446316865
100049,#4 CYL ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,0.6940026966854862
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",REMOVED & REPLACED MOUNTS.,3.6458073622694656
100051,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,9.079262406720176
100052,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,1.4692642580637205
100053,#4 INTAKE IS LEAKING.,REPLACED GASKET & INSPECTED INTAKE TUBE.,1.839780957882885
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE","ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R",9.606969090181497
100055,L/H BAFFLE PLUG WORN.,REMOVED & REPLACED PLUG.,5.915177370780468
100056,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,0.7673953351429352
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,SECURED SEALS.,8.123443617420625
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,SECURED BAFFLE SEAL.,5.895061146468171
100059,#3 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,9.64481059837057
100060,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,9.337880248146734
100061,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,3.185404086988246
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,9.136742415256299
100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK.",5.336665058950128
100064,STUDENT COULDN'T START A/C.,STARTED A/C FOR STUDENT.,6.487212559180833
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",6.57219082428872
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,3.3720247052190997
100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,0.12788362240324203
100068,R/H ENG #2 INTAKE LEAKS.,REPLACED GASKET.,5.758047080095857
100069,L/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,4.685503666068871
100070,R/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,4.761653799417223
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",8.941205940752184
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,6.554514147695029
100073,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,5.6736703345149415
100074,#4 ROCKER BOX COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,2.891960364038366
100075,BAFFLE PLUG HOLE WORN.,INSTALLED PATCH & NEW PLUG.,2.4343426272301407
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"RAN A/C, OPS & LEAK CHECK GOOD.",0.18381190463225172
100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L,9.21099169148121
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA,7.0728978286993
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED,7.003888120244545
100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW",1.7181519445116433
100081,#2 INTAKE LEAKS.,REPLACED GASKET.,2.179920657943768
100082,#4 INTAKE LEAKS.,REPLACED GASKET.,2.471584444238456
100083,#3 INTAKE TUBE GASKET IS LEAKING.,REPLACED GASKET.,5.029175978053014
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REPLACED GASKETS.,1.6564737017955256
100085,ENGINE WOULD NOT START.,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA",5.178754404175624
100086,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,4.680650710496908
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,8.498699311605042
100088,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,8.560984884135383
100089,#2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,0.7179042893311127
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,4.376316768387699
100091,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.,0.6244375310508543
100092,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.,3.6101285660434157
100093,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,8.407428634333902
100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.,2.357304304388056
100095,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,1.38736325538806
100096,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,4.535223862626872
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,TIGHTENED HOSE CLAMP.,9.512496378689683
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,7.753731410307943
100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH",5.177381753467398
100100,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,5.410423389908522
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U",3.9675777808957036
100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,INSTALLED NEW BOLT.,5.88331298289199
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.",6.178192517251029
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &",4.734238122824658
100105,ENGINE DIED DURING MAG CK.,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,3.987407209647855
100106,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,9.64594700587124
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,9.509341811054817
100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.,6.521680217637121
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,8.343475253493242
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,RESECURED BAFFLE SEALS.,7.9937927127430495
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,INSTALLED REPAIRED BAFFLING.,7.077964440008557
